20140804173101,39.0,21.0
20140804173201,39.0,21.0
20140804173301,39.0,21.0
20140804173401,40.0,22.0
20140804173501,39.0,21.0
20140804173601,39.0,21.0
20140804173701,39.0,22.0
20140804173801,39.0,21.0
20140804173901,40.0,23.0
20140804174001,40.0,23.0
20140804174101,39.0,22.0
20140804174201,39.0,21.0
20140804174301,39.0,22.0
20140804174401,39.0,22.0
20140804174501,40.0,21.0
20140807171529,39.0,22.0
20140807171601,39.0,22.0
20140807171701,39.0,22.0
20140807171802,39.0,22.0
20140807171901,39.0,22.0
20140807172001,39.0,22.0
20140807172101,39.0,22.0
20140807172201,39.0,22.0
20140807172301,39.0,22.0
20140807172401,39.0,22.0
20140807172501,39.0,22.0
20140807172601,39.0,22.0
20140807172701,39.0,22.0
20140807172801,39.0,22.0
20140807172901,39.0,22.0
20140807173001,39.0,22.0
20140807173101,39.0,22.0
20140807173201,39.0,22.0
20140807173301,39.0,22.0
20140807173401,39.0,22.0
20140807173501,38.0,22.0
20140807173601,39.0,22.0
20140807173701,39.0,22.0
20140807173801,38.0,23.0
20140807173901,39.0,22.0
20140807174001,38.0,22.0
20140807174101,39.0,22.0
20140807174201,39.0,22.0
20140807174301,39.0,22.0
20140807174401,39.0,22.0
20140807174501,39.0,22.0
20140807174601,38.0,22.0
20140807174701,39.0,22.0
20140807174802,39.0,22.0
20140807174901,39.0,22.0
20140807175001,39.0,22.0
20140807175101,38.0,22.0
20140807175201,39.0,22.0
20140807175301,39.0,22.0
20140807175401,39.0,23.0
20140807175501,39.0,22.0
20140807175601,39.0,22.0
20140807175701,39.0,23.0
